competitor_sku,competitor_product_name,competitor_quantity,competitor_unit_price,competitor_extended_price,competitor_image_url,competitor_notes,our_sku,our_description,our_unit_price,our_extended_price,our_stock_quantity,our_category,our_supplier,our_image_url,match_confidence_score,match_confidence_level,potential_savings,stock_availability,match_timestamp
COMP-PH100,"Phillips screws 1/4"" x 100pcs",5,14.5,72.5,https://competitor.com/ph-screws-100.jpg,Standard phillips head screws,FB-SCR-001,Phillips Head Screws 1/4 inch - Pack of 100,12.99,64.95,450,Hardware,Acme Hardware,https://example.com/images/phillips_screws_quarter.jpg,0.9056679816989701,High,7.549999999999997,In Stock,2025-08-05T17:59:23.004711
COMP-FH50,"Flat head screws 3/8"" x 50pc",3,17.25,51.75,https://competitor.com/fh-screws-50.jpg,Countersunk flat head,FB-SCR-002,Flathead Screws 3/8 inch - Pack of 50,15.75,47.25,320,Hardware,Acme Hardware,https://example.com/images/flathead_screws_3_8.jpg,0.8695609118475256,High,4.5,In Stock,2025-08-05T17:59:54.623751
COMP-NUT200,M6 Hex nuts 200 count,10,9.75,97.5,https://competitor.com/m6-nuts.jpg,Metric hex nuts,FB-NUT-001,Hex Nuts M6 - Pack of 200,8.45,84.5,680,Hardware,Bolt Supply Co,https://example.com/images/hex_nuts_m6.jpg,0.8475378107315314,High,13.0,In Stock,2025-08-05T18:00:28.961515
COMP-WASH500,"1/4"" Flat washers - 500 pack",2,7.85,15.7,https://competitor.com/washers-500.jpg,Standard flat washers,FB-WSH-001,Flat Washers 1/4 inch - Pack of 500,6.99,13.98,890,Hardware,Washer World,https://example.com/images/flat_washers_quarter.jpg,0.8626319517925004,High,1.7199999999999989,In Stock,2025-08-05T18:01:01.997292
COMP-BOLT25,"1/2"" x 3"" Carriage bolts 25pk",4,25.2,100.8,https://competitor.com/carriage-bolts.jpg,Galvanized carriage bolts,FB-BLT-001,Carriage Bolts 1/2 x 3 inch - Pack of 25,22.8,91.2,180,Hardware,Bolt Supply Co,https://example.com/images/carriage_bolts_half_3.jpg,0.8694047024734277,High,9.599999999999994,In Stock,2025-08-05T18:01:34.157972
COMP-DRILL29,"Drill bit set HSS 1/8-1/2"" 29pc",1,52.99,52.99,https://competitor.com/drill-set.jpg,High speed steel bits,FB-DRL-001,HSS Drill Bit Set 1/8 to 1/2 inch - 29 Piece,45.99,45.99,85,Tools,DrillMaster Tools,https://example.com/images/hss_drill_bit_set.jpg,0.920037975788464,High,7.0,In Stock,2025-08-05T18:02:08.077498
COMP-HAM16,16oz claw hammer fiberglass,2,21.75,43.5,https://competitor.com/hammer.jpg,Professional grade hammer,FB-HAM-001,Claw Hammer 16oz Fiberglass Handle,18.5,37.0,125,Tools,Hammer Co,https://example.com/images/claw_hammer_16oz.jpg,0.8667934111364636,High,6.5,In Stock,2025-08-05T18:02:42.757870
COMP-WRENCH10,"10"" adjustable wrench chrome",1,28.5,28.5,https://competitor.com/wrench.jpg,Chrome plated wrench,FB-WRN-001,Adjustable Wrench 10 inch Chrome Finish,24.99,24.99,95,Tools,Wrench Works,https://example.com/images/adjustable_wrench_10.jpg,0.8920512042897539,High,3.5100000000000016,In Stock,2025-08-05T18:03:15.479896
COMP-SAW20,"20"" hand saw hardened blade",1,39.99,39.99,https://competitor.com/handsaw.jpg,Crosscut hand saw,FB-SAW-001,Hand Saw 20 inch Hardened Steel Blade,35.75,35.75,45,Tools,Cut Right Saws,https://example.com/images/hand_saw_20.jpg,0.8422807431946049,High,4.240000000000002,In Stock,2025-08-05T18:03:50.517620
COMP-LEVEL24,"24"" aluminum spirit level",1,32.75,32.75,https://competitor.com/level.jpg,Bubble level aluminum,FB-LEV-001,Spirit Level 24 inch Aluminum Body,28.99,28.99,78,Tools,Level Best,https://example.com/images/spirit_level_24.jpg,0.6504752492228802,Low,3.7600000000000016,In Stock,2025-08-05T18:04:22.162579
COMP-PLIERS6,"6"" needle nose pliers grip",3,16.99,50.97,https://competitor.com/pliers.jpg,Insulated grip pliers,FB-PLR-001,Needle Nose Pliers 6 inch Cushion Grip,14.25,42.75,210,Tools,Grip Tools,https://example.com/images/needle_nose_pliers_6.jpg,0.7651541056715929,High,8.219999999999999,In Stock,2025-08-05T18:04:58.349944
COMP-TAPE25,25ft measuring tape heavy duty,2,22.5,45.0,https://competitor.com/tape.jpg,Magnetic tip tape measure,FB-TAP-001,Measuring Tape 25ft Heavy Duty Case,19.99,39.98,165,Tools,Measure Right,https://example.com/images/measuring_tape_25ft.jpg,0.8217789736168384,High,5.020000000000003,In Stock,2025-08-05T18:05:31.290594
